

order_id,order_date,demand_level,unit_price,quantity,total_order_value,margin_percent,ai_cancel_flag,cancellation_reason,order_status_before_ai_only,revenue_lost_before_ai_only,recoverable_flag,intervention_attempted_by_navedas,intervention_success,intervention_failure_reason,order_status_after_navedas,revenue_prevented_by_navedas,avoidable_revenue_loss_after_navedas,profit_lost_before_ai_only,profit_lost_after_navedas,margin_saved_after_navedas,intervention_cost,net_profit_impact_due_to_navedas,recovery_rate_flag
ORD-700010,15-03-2025,Medium,2566,2,5132,0.29,1,Vendor Split Possible,Cancelled,5132,1,1,1,None,Fulfilled,5132,0,1488.28,0.0,1488.28,15,1473.28,1
ORD-700011,17-02-2025,High,611,2,1222,0.39,1,AI Logic Gap - SKU Mapping,Cancelled,1222,0,0,0,Not Recoverable,Cancelled,0,0,476.58000000000004,0.0,0.0,0,0.0,0
ORD-700012,07-01-2025,Medium,1267,3,3801,0.26,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700013,10-03-2025,Medium,2367,3,7101,0.26,1,Payment Expired,Cancelled,7101,1,1,1,None,Fulfilled,7101,0,1846.26,0.0,1846.26,15,1831.26,1
ORD-700014,11-01-2025,Medium,424,3,1272,0.36,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700015,03-06-2025,High,2753,1,2753,0.25,1,Payment Expired,Cancelled,2753,1,1,0,Customer Abandoned,Cancelled,0,2753,688.25,688.25,0.0,15,-703.25,0
ORD-700016,11-02-2025,High,2705,1,2705,0.41,1,AI Logic Gap - SKU Mapping,Cancelled,2705,0,0,0,Not Recoverable,Cancelled,0,0,1109.05,0.0,0.0,0,0.0,0
ORD-700017,14-01-2025,Low,272,2,544,0.42,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700018,17-04-2025,High,1761,1,1761,0.3,1,Stock Sync Delay,Cancelled,1761,1,1,1,None,Fulfilled,1761,0,528.3,0.0,528.3,15,513.3,1
ORD-700019,28-03-2025,High,1602,2,3204,0.31,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700020,28-01-2025,Low,1467,3,4401,0.43,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700021,25-02-2025,Low,2965,1,2965,0.44,1,Stock Sync Delay,Cancelled,2965,1,1,0,Late Detection,Cancelled,0,2965,1304.6,1304.6,0.0,15,-1319.6,0
ORD-700022,29-05-2025,High,922,3,2766,0.29,1,Payment Expired,Cancelled,2766,0,0,0,Not Recoverable,Cancelled,0,0,802.14,0.0,0.0,0,0.0,0
ORD-700023,31-03-2025,Medium,1312,2,2624,0.25,1,Vendor Split Possible,Cancelled,2624,1,1,1,None,Fulfilled,2624,0,656.0,0.0,656.0,15,641.0,1
ORD-700024,23-04-2025,Medium,2927,2,5854,0.43,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700025,07-04-2025,Medium,1177,3,3531,0.36,1,Payment Expired,Cancelled,3531,1,1,1,None,Fulfilled,3531,0,1271.1599999999999,0.0,1271.1599999999999,15,1256.1599999999999,1
ORD-700026,15-04-2025,High,2737,2,5474,0.26,1,AI Logic Gap - SKU Mapping,Cancelled,5474,1,1,1,None,Fulfilled,5474,0,1423.24,0.0,1423.24,15,1408.24,1
ORD-700027,13-01-2025,Medium,1312,1,1312,0.25,1,Vendor Split Possible,Cancelled,1312,1,1,1,None,Fulfilled,1312,0,328.0,0.0,328.0,15,313.0,1
ORD-700028,30-03-2025,High,1350,3,4050,0.38,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700029,30-01-2025,Low,2725,3,8175,0.3,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700030,12-04-2025,Low,2251,3,6753,0.36,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700031,28-02-2025,Low,476,3,1428,0.39,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700032,04-04-2025,Medium,2778,2,5556,0.39,1,Vendor Split Possible,Cancelled,5556,1,1,1,None,Fulfilled,5556,0,2166.84,0.0,2166.84,15,2151.84,1
ORD-700033,24-06-2025,High,2617,2,5234,0.33,1,Vendor Split Possible,Cancelled,5234,1,1,1,None,Fulfilled,5234,0,1727.22,0.0,1727.22,15,1712.22,1
ORD-700034,02-03-2025,High,2200,3,6600,0.34,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700035,23-06-2025,Low,1748,1,1748,0.37,1,Stock Sync Delay,Cancelled,1748,0,0,0,Not Recoverable,Cancelled,0,0,646.76,0.0,0.0,0,0.0,0
ORD-700036,11-01-2025,Low,862,1,862,0.41,1,Stock Sync Delay,Cancelled,862,1,1,1,None,Fulfilled,862,0,353.41999999999996,0.0,353.41999999999996,15,338.41999999999996,1
ORD-700037,18-04-2025,Medium,1261,1,1261,0.44,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700038,01-03-2025,Medium,1549,1,1549,0.3,1,Stock Sync Delay,Cancelled,1549,1,1,1,None,Fulfilled,1549,0,464.7,0.0,464.7,15,449.7,1
ORD-700039,08-01-2025,High,1002,1,1002,0.41,1,Vendor Split Possible,Cancelled,1002,0,0,0,Not Recoverable,Cancelled,0,0,410.82,0.0,0.0,0,0.0,0
ORD-700040,06-03-2025,Medium,2391,2,4782,0.43,1,AI Logic Gap - SKU Mapping,Cancelled,4782,0,0,0,Not Recoverable,Cancelled,0,0,2056.2599999999998,0.0,0.0,0,0.0,0
ORD-700041,21-02-2025,High,2106,3,6318,0.34,1,Payment Expired,Cancelled,6318,1,1,1,None,Fulfilled,6318,0,2148.1200000000003,0.0,2148.1200000000003,15,2133.1200000000003,1
ORD-700042,07-01-2025,High,349,2,698,0.28,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700043,08-06-2025,High,2154,1,2154,0.4,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700044,28-05-2025,Medium,2017,1,2017,0.42,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700045,09-05-2025,Medium,1718,3,5154,0.35,1,Vendor Split Possible,Cancelled,5154,1,1,1,None,Fulfilled,5154,0,1803.8999999999999,0.0,1803.8999999999999,15,1788.8999999999999,1
ORD-700046,02-03-2025,High,1559,1,1559,0.44,1,AI Logic Gap - SKU Mapping,Cancelled,1559,0,0,0,Not Recoverable,Cancelled,0,0,685.96,0.0,0.0,0,0.0,0
ORD-700047,15-04-2025,High,934,2,1868,0.38,1,AI Logic Gap - SKU Mapping,Cancelled,1868,1,1,1,None,Fulfilled,1868,0,709.84,0.0,709.84,15,694.84,1
ORD-700048,21-06-2025,High,1867,1,1867,0.34,1,Payment Expired,Cancelled,1867,1,1,1,None,Fulfilled,1867,0,634.7800000000001,0.0,634.7800000000001,15,619.7800000000001,1
ORD-700049,22-03-2025,Low,2655,1,2655,0.37,1,Payment Expired,Cancelled,2655,0,0,0,Not Recoverable,Cancelled,0,0,982.35,0.0,0.0,0,0.0,0
ORD-700050,26-03-2025,Medium,545,2,1090,0.27,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700051,24-01-2025,High,1602,3,4806,0.26,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700052,19-02-2025,Medium,2381,2,4762,0.32,1,Payment Expired,Cancelled,4762,1,1,1,None,Fulfilled,4762,0,1523.84,0.0,1523.84,15,1508.84,1
ORD-700053,22-02-2025,Medium,1938,1,1938,0.44,1,AI Logic Gap - SKU Mapping,Cancelled,1938,1,1,1,None,Fulfilled,1938,0,852.72,0.0,852.72,15,837.72,1
ORD-700054,07-02-2025,Medium,1864,2,3728,0.41,1,Vendor Split Possible,Cancelled,3728,1,1,0,Vendor SLA Delay,Cancelled,0,3728,1528.48,1528.48,0.0,15,-1543.48,0
ORD-700055,12-02-2025,Medium,2194,1,2194,0.45,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700056,19-03-2025,High,1737,3,5211,0.35,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700057,19-03-2025,Low,2675,2,5350,0.37,1,Vendor Split Possible,Cancelled,5350,1,1,1,None,Fulfilled,5350,0,1979.5,0.0,1979.5,15,1964.5,1
ORD-700058,30-04-2025,Low,1678,1,1678,0.36,1,Vendor Split Possible,Cancelled,1678,1,1,1,None,Fulfilled,1678,0,604.0799999999999,0.0,604.0799999999999,15,589.0799999999999,1
ORD-700059,06-01-2025,Medium,2994,1,2994,0.29,1,Vendor Split Possible,Cancelled,2994,1,1,1,None,Fulfilled,2994,0,868.26,0.0,868.26,15,853.26,1
ORD-700060,31-05-2025,Low,1903,3,5709,0.44,1,Payment Expired,Cancelled,5709,1,1,0,Vendor SLA Delay,Cancelled,0,5709,2511.96,2511.96,0.0,15,-2526.96,0
ORD-700061,25-03-2025,Low,1511,2,3022,0.4,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700062,29-06-2025,Low,857,3,2571,0.29,1,Stock Sync Delay,Cancelled,2571,1,1,1,None,Fulfilled,2571,0,745.5899999999999,0.0,745.5899999999999,15,730.5899999999999,1
ORD-700063,19-02-2025,High,343,1,343,0.28,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700064,14-01-2025,Low,1032,3,3096,0.43,1,Vendor Split Possible,Cancelled,3096,1,1,1,None,Fulfilled,3096,0,1331.28,0.0,1331.28,15,1316.28,1
ORD-700065,26-02-2025,High,1443,1,1443,0.31,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700066,18-05-2025,High,2690,3,8070,0.44,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700067,21-04-2025,Medium,1529,2,3058,0.38,1,Payment Expired,Cancelled,3058,1,1,1,None,Fulfilled,3058,0,1162.04,0.0,1162.04,15,1147.04,1
ORD-700068,27-02-2025,High,2529,3,7587,0.35,1,AI Logic Gap - SKU Mapping,Cancelled,7587,1,1,1,None,Fulfilled,7587,0,2655.45,0.0,2655.45,15,2640.45,1
ORD-700069,27-04-2025,Medium,192,3,576,0.29,1,Stock Sync Delay,Cancelled,576,1,1,1,None,Fulfilled,576,0,167.04,0.0,167.04,15,152.04,1
ORD-700070,12-01-2025,High,248,2,496,0.42,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700071,14-01-2025,Medium,1701,1,1701,0.35,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700072,09-02-2025,Low,1633,2,3266,0.41,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700073,31-01-2025,Medium,208,1,208,0.37,1,Stock Sync Delay,Cancelled,208,1,1,0,Late Detection,Cancelled,0,208,76.96,76.96,0.0,15,-91.96,0
ORD-700074,07-06-2025,Medium,178,2,356,0.29,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700075,10-06-2025,Medium,1863,3,5589,0.35,1,Payment Expired,Cancelled,5589,1,1,0,Late Detection,Cancelled,0,5589,1956.1499999999999,1956.1499999999999,0.0,15,-1971.1499999999999,0
ORD-700076,16-01-2025,Low,986,3,2958,0.36,1,AI Logic Gap - SKU Mapping,Cancelled,2958,1,1,1,None,Fulfilled,2958,0,1064.8799999999999,0.0,1064.8799999999999,15,1049.8799999999999,1
ORD-700077,25-05-2025,Low,2183,1,2183,0.36,1,Stock Sync Delay,Cancelled,2183,1,1,1,None,Fulfilled,2183,0,785.88,0.0,785.88,15,770.88,1
ORD-700078,13-01-2025,High,1701,3,5103,0.31,1,Stock Sync Delay,Cancelled,5103,1,1,1,None,Fulfilled,5103,0,1581.93,0.0,1581.93,15,1566.93,1
ORD-700079,13-06-2025,Low,2887,2,5774,0.29,1,Vendor Split Possible,Cancelled,5774,1,1,0,Vendor SLA Delay,Cancelled,0,5774,1674.4599999999998,1674.4599999999998,0.0,15,-1689.4599999999998,0
ORD-700080,26-02-2025,Medium,614,2,1228,0.43,1,AI Logic Gap - SKU Mapping,Cancelled,1228,1,1,1,None,Fulfilled,1228,0,528.04,0.0,528.04,15,513.04,1
ORD-700081,23-06-2025,Low,1531,3,4593,0.41,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700082,02-01-2025,Low,1586,3,4758,0.27,1,Vendor Split Possible,Cancelled,4758,1,1,0,Customer Payment Expired,Cancelled,0,4758,1284.66,1284.66,0.0,15,-1299.66,0
ORD-700083,22-05-2025,Low,2574,3,7722,0.25,1,Stock Sync Delay,Cancelled,7722,1,1,1,None,Fulfilled,7722,0,1930.5,0.0,1930.5,15,1915.5,1
ORD-700084,14-02-2025,Low,354,2,708,0.41,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700085,01-03-2025,High,1362,1,1362,0.39,1,Stock Sync Delay,Cancelled,1362,1,1,1,None,Fulfilled,1362,0,531.1800000000001,0.0,531.1800000000001,15,516.1800000000001,1
ORD-700086,17-02-2025,Low,1428,2,2856,0.36,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700087,22-06-2025,High,1249,1,1249,0.41,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700088,15-04-2025,Low,1717,2,3434,0.35,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700089,17-01-2025,Low,2527,1,2527,0.3,1,AI Logic Gap - SKU Mapping,Cancelled,2527,1,1,1,None,Fulfilled,2527,0,758.1,0.0,758.1,15,743.1,1
ORD-700090,04-01-2025,High,2125,2,4250,0.38,1,AI Logic Gap - SKU Mapping,Cancelled,4250,1,1,1,None,Fulfilled,4250,0,1615.0,0.0,1615.0,15,1600.0,1
ORD-700091,02-01-2025,High,175,3,525,0.3,1,Payment Expired,Cancelled,525,1,1,0,Customer Abandoned,Cancelled,0,525,157.5,157.5,0.0,15,-172.5,0
ORD-700092,24-03-2025,Medium,629,1,629,0.25,1,Payment Expired,Cancelled,629,1,1,1,None,Fulfilled,629,0,157.25,0.0,157.25,15,142.25,1
ORD-700093,24-02-2025,Low,1356,3,4068,0.33,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700094,04-06-2025,High,733,2,1466,0.44,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700095,24-05-2025,Low,2958,1,2958,0.31,1,AI Logic Gap - SKU Mapping,Cancelled,2958,1,1,1,None,Fulfilled,2958,0,916.98,0.0,916.98,15,901.98,1
ORD-700096,23-05-2025,Low,1795,3,5385,0.43,1,Vendor Split Possible,Cancelled,5385,1,1,0,Customer Abandoned,Cancelled,0,5385,2315.55,2315.55,0.0,15,-2330.55,0
ORD-700097,01-01-2025,Medium,1553,3,4659,0.33,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700098,11-04-2025,High,2463,1,2463,0.29,1,AI Logic Gap - SKU Mapping,Cancelled,2463,1,1,0,Customer Payment Expired,Cancelled,0,2463,714.27,714.27,0.0,15,-729.27,0
ORD-700099,27-01-2025,Low,1328,2,2656,0.32,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700100,04-04-2025,High,649,1,649,0.38,1,Vendor Split Possible,Cancelled,649,0,0,0,Not Recoverable,Cancelled,0,0,246.62,0.0,0.0,0,0.0,0
ORD-700101,07-04-2025,Medium,1660,2,3320,0.38,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700102,06-03-2025,Medium,228,2,456,0.34,1,Vendor Split Possible,Cancelled,456,1,1,1,None,Fulfilled,456,0,155.04000000000002,0.0,155.04000000000002,15,140.04000000000002,1
ORD-700103,27-04-2025,Low,594,2,1188,0.44,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700104,02-06-2025,Medium,2193,2,4386,0.4,1,AI Logic Gap - SKU Mapping,Cancelled,4386,1,1,1,None,Fulfilled,4386,0,1754.4,0.0,1754.4,15,1739.4,1
ORD-700105,04-02-2025,Low,1856,3,5568,0.27,1,Vendor Split Possible,Cancelled,5568,1,1,1,None,Fulfilled,5568,0,1503.3600000000001,0.0,1503.3600000000001,15,1488.3600000000001,1
ORD-700106,03-04-2025,Low,235,3,705,0.44,1,AI Logic Gap - SKU Mapping,Cancelled,705,1,1,0,Vendor SLA Delay,Cancelled,0,705,310.2,310.2,0.0,15,-325.2,0
ORD-700107,16-03-2025,Low,2529,2,5058,0.3,1,AI Logic Gap - SKU Mapping,Cancelled,5058,1,1,1,None,Fulfilled,5058,0,1517.3999999999999,0.0,1517.3999999999999,15,1502.3999999999999,1
ORD-700108,13-01-2025,Medium,768,3,2304,0.37,1,Stock Sync Delay,Cancelled,2304,1,1,1,None,Fulfilled,2304,0,852.48,0.0,852.48,15,837.48,1
ORD-700109,22-05-2025,Low,123,3,369,0.34,1,AI Logic Gap - SKU Mapping,Cancelled,369,1,1,1,None,Fulfilled,369,0,125.46000000000001,0.0,125.46000000000001,15,110.46000000000001,1
ORD-700110,02-01-2025,Medium,1798,3,5394,0.32,1,AI Logic Gap - SKU Mapping,Cancelled,5394,1,1,1,None,Fulfilled,5394,0,1726.08,0.0,1726.08,15,1711.08,1
ORD-700111,06-05-2025,Medium,2502,1,2502,0.37,1,Payment Expired,Cancelled,2502,1,1,0,Vendor SLA Delay,Cancelled,0,2502,925.74,925.74,0.0,15,-940.74,0
ORD-700112,07-03-2025,Low,1006,1,1006,0.26,1,Payment Expired,Cancelled,1006,0,0,0,Not Recoverable,Cancelled,0,0,261.56,0.0,0.0,0,0.0,0
ORD-700113,02-03-2025,High,1834,1,1834,0.38,1,Vendor Split Possible,Cancelled,1834,1,1,1,None,Fulfilled,1834,0,696.92,0.0,696.92,15,681.92,1
ORD-700114,28-05-2025,Low,2094,3,6282,0.41,1,Vendor Split Possible,Cancelled,6282,0,0,0,Not Recoverable,Cancelled,0,0,2575.62,0.0,0.0,0,0.0,0
ORD-700115,01-02-2025,High,2847,3,8541,0.33,1,AI Logic Gap - SKU Mapping,Cancelled,8541,1,1,1,None,Fulfilled,8541,0,2818.53,0.0,2818.53,15,2803.53,1
ORD-700116,15-05-2025,Medium,2785,2,5570,0.44,1,Vendor Split Possible,Cancelled,5570,1,1,1,None,Fulfilled,5570,0,2450.8,0.0,2450.8,15,2435.8,1
ORD-700117,13-02-2025,Low,759,2,1518,0.44,1,Vendor Split Possible,Cancelled,1518,1,1,1,None,Fulfilled,1518,0,667.92,0.0,667.92,15,652.92,1
ORD-700118,14-05-2025,Low,395,1,395,0.33,0,AI Logic Gap - SKU Mapping,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700119,06-01-2025,Medium,2071,2,4142,0.44,1,Payment Expired,Cancelled,4142,1,1,1,None,Fulfilled,4142,0,1822.48,0.0,1822.48,15,1807.48,1
ORD-700120,23-02-2025,Medium,1402,3,4206,0.39,1,Stock Sync Delay,Cancelled,4206,0,0,0,Not Recoverable,Cancelled,0,0,1640.3400000000001,0.0,0.0,0,0.0,0
ORD-700121,01-06-2025,Medium,2426,1,2426,0.33,1,Stock Sync Delay,Cancelled,2426,1,1,0,Vendor SLA Delay,Cancelled,0,2426,800.58,800.58,0.0,15,-815.58,0
ORD-700122,09-03-2025,High,1608,1,1608,0.32,1,Payment Expired,Cancelled,1608,1,1,1,None,Fulfilled,1608,0,514.5600000000001,0.0,514.5600000000001,15,499.56000000000006,1
ORD-700123,24-03-2025,Medium,602,2,1204,0.33,1,Payment Expired,Cancelled,1204,1,1,1,None,Fulfilled,1204,0,397.32,0.0,397.32,15,382.32,1
ORD-700124,02-05-2025,High,2505,2,5010,0.39,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700125,01-02-2025,Medium,1716,2,3432,0.37,1,Vendor Split Possible,Cancelled,3432,1,1,1,None,Fulfilled,3432,0,1269.84,0.0,1269.84,15,1254.84,1
ORD-700126,17-05-2025,High,852,1,852,0.35,1,Payment Expired,Cancelled,852,1,1,1,None,Fulfilled,852,0,298.2,0.0,298.2,15,283.2,1
ORD-700127,26-06-2025,Medium,192,2,384,0.44,1,AI Logic Gap - SKU Mapping,Cancelled,384,1,1,1,None,Fulfilled,384,0,168.96,0.0,168.96,15,153.96,1
ORD-700128,15-02-2025,High,1442,2,2884,0.44,1,Payment Expired,Cancelled,2884,1,1,1,None,Fulfilled,2884,0,1268.96,0.0,1268.96,15,1253.96,1
ORD-700129,11-06-2025,High,2976,1,2976,0.29,1,Stock Sync Delay,Cancelled,2976,0,0,0,Not Recoverable,Cancelled,0,0,863.04,0.0,0.0,0,0.0,0
ORD-700130,16-04-2025,Low,385,3,1155,0.38,1,Vendor Split Possible,Cancelled,1155,0,0,0,Not Recoverable,Cancelled,0,0,438.9,0.0,0.0,0,0.0,0
ORD-700131,18-06-2025,High,2147,2,4294,0.44,1,Stock Sync Delay,Cancelled,4294,1,1,1,None,Fulfilled,4294,0,1889.36,0.0,1889.36,15,1874.36,1
ORD-700132,11-05-2025,Medium,1826,2,3652,0.32,1,Stock Sync Delay,Cancelled,3652,0,0,0,Not Recoverable,Cancelled,0,0,1168.64,0.0,0.0,0,0.0,0
ORD-700133,02-02-2025,High,959,2,1918,0.27,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700134,18-04-2025,Medium,963,1,963,0.42,1,Stock Sync Delay,Cancelled,963,1,1,0,Vendor SLA Delay,Cancelled,0,963,404.46,404.46,0.0,15,-419.46,0
ORD-700135,06-05-2025,Medium,1777,1,1777,0.26,1,Stock Sync Delay,Cancelled,1777,1,1,1,None,Fulfilled,1777,0,462.02000000000004,0.0,462.02000000000004,15,447.02000000000004,1
ORD-700136,12-03-2025,Low,2095,3,6285,0.27,1,Stock Sync Delay,Cancelled,6285,0,0,0,Not Recoverable,Cancelled,0,0,1696.95,0.0,0.0,0,0.0,0
ORD-700137,22-06-2025,High,876,1,876,0.29,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700138,24-06-2025,Medium,1900,3,5700,0.41,1,Payment Expired,Cancelled,5700,1,1,1,None,Fulfilled,5700,0,2337.0,0.0,2337.0,15,2322.0,1
ORD-700139,05-02-2025,Medium,2015,1,2015,0.44,1,Payment Expired,Cancelled,2015,1,1,1,None,Fulfilled,2015,0,886.6,0.0,886.6,15,871.6,1
ORD-700140,16-03-2025,Medium,1337,3,4011,0.45,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
